RECORDING_SESSION_LABEL	TRIAL_INDEX	IA_AREA	IA_DWELL_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIXATION_COUNT	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIXATION_%	IA_ID	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LEFT	IA_BOTTOM	IA_RIGHT	IA_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_TIME	IP_LABEL	IP_START_TIME	TIME_SCALE	Session_Name_	Trial_Index_	condition	dog_session	frame_rate	session	video_file	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_TOTAL_VISITED_IA_COUNT
Ace_1	1	56118.00	0	.	.	0	.	.	.	.	.	.	.	0.0000	1	human_face_IA	.	.	.	259	197	541	.	-2	RECTANGLE	[2, 0, 2, 0, 2]	1838209	whole_video	1828199	Trial Relative	Ace_1	1	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	9505.00	14	2	1
Ace_1	1	56118.00	5184	161	1	8	.	.	300	0	523.30	344.00	1	0.5714	2	dog_face_IA	778	570.80	434.20	469	524	751	.	325	RECTANGLE	[2, 0, 2, 0, 2]	1838209	whole_video	1828199	Trial Relative	Ace_1	1	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	9505.00	14	2	1
Ace_1	2	56118.00	82	82	11	1	2	[2]	10258	1	420.00	190.40	0	0.0909	1	human_face_IA	82	420.00	190.40	259	197	541	.	-2	RECTANGLE	[2, 0, 2, 0, 2, 0, 2, 1]	1848881	whole_video	1838871	Trial Relative	Ace_1	2	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	9617.00	11	2	2
Ace_1	2	56118.00	5259	178	1	5	.	.	330	0	483.20	346.30	1	0.4545	2	dog_face_IA	1171	549.20	400.60	469	524	751	.	325	RECTANGLE	[2, 0, 2, 0, 2, 0, 2, 1]	1848881	whole_video	1838871	Trial Relative	Ace_1	2	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	9617.00	11	2	2
Ace_1	3	56118.00	0	.	.	0	.	.	.	.	.	.	.	0.0000	1	human_face_IA	.	.	.	259	197	541	.	-2	RECTANGLE	[0, 2, 0, 2, 0, 2]	1859697	whole_video	1849686	Trial Relative	Ace_1	3	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	8012.00	12	2	1
Ace_1	3	56118.00	2742	1071	4	4	.	.	3568	0	594.30	402.70	1	0.3333	2	dog_face_IA	27	556.40	440.10	469	524	751	.	325	RECTANGLE	[0, 2, 0, 2, 0, 2]	1859697	whole_video	1849686	Trial Relative	Ace_1	3	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	8012.00	12	2	1
Ace_1	4	56118.00	0	.	.	0	.	.	.	.	.	.	.	0.0000	1	human_face_IA	.	.	.	259	197	541	.	-2	RECTANGLE	[2, 0]	1870135	whole_video	1860126	Trial Relative	Ace_1	4	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	8324.00	7	2	1
Ace_1	4	56118.00	162	162	1	1	.	.	96	0	522.20	327.90	1	0.1429	2	dog_face_IA	162	522.20	327.90	469	524	751	.	325	RECTANGLE	[2, 0]	1870135	whole_video	1860126	Trial Relative	Ace_1	4	ambiguous	14-1	30.3	1	ambiguous_goal_100.mp4	8324.00	7	2	1
Ace_2	1	56118.00	6623	415	4	5	.	.	1044	0	384.60	170.30	1	0.3571	1	human_face_IA	4353	386.60	125.60	259	197	541	.	-2	RECTANGLE	[0, 1, 0, 2, 0, 1, 0, 1]	1251653	whole_video	1241644	Trial Relative	Ace_2	1	clear	14-2	30.3	2	clear_goal_100.mp4	9618.00	14	2	2
Ace_2	1	56118.00	488	488	8	1	.	[1]	2615	1	560.60	399.50	1	0.0714	2	dog_face_IA	488	560.60	399.50	469	524	751	.	325	RECTANGLE	[0, 1, 0, 2, 0, 1, 0, 1]	1251653	whole_video	1241644	Trial Relative	Ace_2	1	clear	14-2	30.3	2	clear_goal_100.mp4	9618.00	14	2	2
